region	sub-table	lower_frequency	upper_frequency	Category	service	footnotes
itu3		4000000	4063000	p	Fixed	
itu3		4000000	4063000	p	Maritime Mobile	5.127
itu3		4063000	4438000		-	5.128
itu3		4063000	4438000	p	Maritime Mobile	5.79A,5.109,5.110,5.130,5.131,5.132
itu3		4438000	4650000	p	Fixed	
itu3		4438000	4650000	p	Mobile except aeronautical mobile	
itu3		4650000	4700000	p	Aeronautical Mobile (R)	
itu3		4700000	4750000	p	Aeronautical Mobile (OR)	
itu3		4750000	4850000	p	Fixed	
itu3		4750000	4850000	p	Broadcasting	5.113
itu3		4750000	4850000	s	Land Mobile	
itu3		4850000	4995000	p	Fixed	
itu3		4850000	4995000	p	Land Mobile	
itu3		4850000	4995000	p	Broadcasting	5.113
itu3		4995000	5003000	p	Standard Frequency And Time Signal (5000 kHz)	
itu3		5003000	5005000	p	Standard Frequency And Time Signal	
itu3		5003000	5005000	s	Space Research	
itu3		5005000	5060000	p	Fixed	
itu3		5005000	5060000	p	Broadcasting	5.113
itu3		5060000	5250000		-	5.133
itu3		5060000	5250000	p	Fixed	
itu3		5060000	5250000	s	Mobile except aeronautical mobile	
itu3		5250000	5450000	p	Fixed	
itu3		5250000	5450000	p	Mobile except aeronautical mobile	
itu3		5450000	5480000	p	Fixed	
itu3		5450000	5480000	p	Aeronautical Mobile (OR)	
itu3		5450000	5480000	p	Land Mobile	
itu3		5480000	5680000		-	5.111,5.115
itu3		5480000	5680000	p	Aeronautical Mobile (R)	
itu3		5680000	5730000		-	5.111,5.115
itu3		5680000	5730000	p	Aeronautical Mobile (OR)	
itu3		5730000	5900000	p	Fixed	
itu3		5730000	5900000	s	Mobile except aeronautical mobile (R)	
itu3		5900000	5950000		-	5.136
itu3		5900000	5950000	p	Broadcasting	5.134
itu3		5950000	6200000	p	Broadcasting	
itu3		6200000	6525000		-	5.137
itu3		6200000	6525000	p	Maritime Mobile	5.109,5.110,5.130,5.132
itu3		6525000	6685000	p	Aeronautical Mobile (R)	
itu3		6685000	6765000	p	Aeronautical Mobile (OR)	
itu3		6765000	7000000		-	5.138
itu3		6765000	7000000	p	Fixed	
itu3		6765000	7000000	p	Mobile except aeronautical mobile (R)	
itu3		7000000	7100000		-	5.140,5.141,5.141A
itu3		7000000	7100000	p	Amateur	
itu3		7000000	7100000	p	Amateur-Satellite	
itu3		7100000	7200000		-	5.141A,5.141B,5.142
itu3		7100000	7200000	p	Amateur	
itu3		7200000	7300000	p	Broadcasting	
itu3		7300000	7400000		-	5.143,5.143A,5.143B,5.143C,5.143D
itu3		7300000	7400000	p	Broadcasting	5.134
itu3		7400000	7450000		-	5.143A,5.143C
itu3		7400000	7450000	p	Broadcasting	
itu3		7450000	8100000		-	5.144
itu3		7450000	8100000	p	Fixed	
itu3		7450000	8100000	p	Mobile except aeronautical mobile (R)	
itu3		8100000	8195000	p	Fixed	
itu3		8100000	8195000	p	Maritime Mobile	
itu3		8195000	8815000		-	5.111
itu3		8195000	8815000	p	Maritime Mobile	5.109,5.110,5.132,5.145
itu3		8815000	8965000	p	Aeronautical Mobile (R)	
itu3		8965000	9040000	p	Aeronautical Mobile (OR)	
itu3		9040000	9400000	p	Fixed	
itu3		9400000	9500000		-	5.146
itu3		9400000	9500000	p	Broadcasting	5.134
itu3		9500000	9900000		-	5.147
itu3		9500000	9900000	p	Broadcasting	
itu3		9900000	9995000	p	Fixed	
itu3		9995000	10003000		-	5.111
itu3		9995000	10003000	p	Standard Frequency And Time Signal (10000 kHz)	
itu3		10003000	10005000		-	5.111
itu3		10003000	10005000	p	Standard Frequency And Time Signal	
itu3		10003000	10005000	s	Space Research	
itu3		10005000	10100000		-	5.111
itu3		10005000	10100000	p	Aeronautical Mobile (R)	
itu3		10100000	10150000	p	Fixed	
itu3		10100000	10150000	s	Amateur	
itu3		10150000	11175000	p	Fixed	
itu3		10150000	11175000	s	Mobile except aeronautical mobile (R)	
itu3		11175000	11275000	p	Aeronautical Mobile (OR)	
itu3		11275000	11400000	p	Aeronautical Mobile (R)	
itu3		11400000	11600000	p	Fixed	
itu3		11600000	11650000		-	5.146
itu3		11600000	11650000	p	Broadcasting	5.134
itu3		11650000	12050000		-	5.147
itu3		11650000	12050000	p	Broadcasting	
itu3		12050000	12100000		-	5.146
itu3		12050000	12100000	p	Broadcasting	5.134
itu3		12100000	12230000	p	Fixed	
itu3		12230000	13200000	p	Maritime Mobile	5.109,5.110,5.132,5.145
itu3		13200000	13260000	p	Aeronautical Mobile (OR)	
itu3		13260000	13360000	p	Aeronautical Mobile (R)	
itu3		13360000	13410000		-	5.149
itu3		13360000	13410000	p	Fixed	
itu3		13360000	13410000	p	Radio Astronomy	
itu3		13410000	13570000		-	5.15
itu3		13410000	13570000	p	Fixed	
itu3		13410000	13570000	s	Mobile except aeronautical mobile (R)	
itu3		13570000	13600000		-	5.151
itu3		13570000	13600000	p	Broadcasting	5.134
itu3		13600000	13800000	p	Broadcasting	
itu3		13800000	13870000		-	5.151
itu3		13800000	13870000	p	Broadcasting	5.134
itu3		13870000	14000000	p	Fixed	
itu3		13870000	14000000	s	Mobile except aeronautical mobile (R)	
itu3		14000000	14250000	p	Amateur	
itu3		14000000	14250000	p	Amateur-Satellite	
itu3		14250000	14350000		-	5.152
itu3		14250000	14350000	p	Amateur	
itu3		14350000	14990000	p	Fixed	
itu3		14350000	14990000	s	Mobile except aeronautical mobile (R)	
itu3		14990000	15005000		-	5.111
itu3		14990000	15005000	p	Standard Frequency And Time Signal (15000 kHz)	
itu3		15005000	15010000	p	Standard Frequency And Time Signal	
itu3		15005000	15010000	s	Space Research	
itu3		15010000	15100000	p	Aeronautical Mobile (OR)	
itu3		15100000	15600000	p	Broadcasting	
itu3		15600000	15800000		-	5.146
itu3		15600000	15800000	p	Broadcasting	5.134
itu3		15800000	16360000		-	5.153
itu3		15800000	16360000	p	Fixed	
itu3		16360000	17410000	p	Maritime Mobile	5.109,5.110,5.132,5.145
itu3		17410000	17480000	p	Fixed	
itu3		17480000	17550000		-	5.146
itu3		17480000	17550000	p	Broadcasting	5.134
itu3		17550000	17900000	p	Broadcasting	
itu3		17900000	17970000	p	Aeronautical Mobile (R)	
itu3		17970000	18030000	p	Aeronautical Mobile (OR)	
itu3		18030000	18052000	p	Fixed	
itu3		18052000	18068000	p	Fixed	
itu3		18052000	18068000	s	Space Research	
itu3		18068000	18168000		-	5.154
itu3		18068000	18168000	p	Amateur	
itu3		18068000	18168000	p	Amateur-Satellite	
itu3		18168000	18780000	p	Fixed	
itu3		18168000	18780000	s	Mobile except aeronautical mobile	
itu3		18780000	18900000	p	Maritime Mobile	
itu3		18900000	19020000		-	5.146
itu3		18900000	19020000	p	Broadcasting	5.134
itu3		19020000	19680000	p	Fixed	
itu3		19680000	19800000	p	Maritime Mobile	5.132
itu3		19800000	19990000	p	Fixed	
itu3		19990000	19995000		-	5.111
itu3		19990000	19995000	p	Standard Frequency And Time Signal	
itu3		19990000	19995000	s	Space Research	
itu3		19995000	20010000		-	5.111
itu3		19995000	20010000	p	Standard Frequency And Time Signal (20000 kHz)	
itu3		20010000	21000000	p	Fixed	
itu3		20010000	21000000	s	Mobile	
itu3		21000000	21450000	p	Amateur	
itu3		21000000	21450000	p	Amateur-Satellite	
itu3		21450000	21850000	p	Broadcasting	
itu3		21850000	21870000		-	5.155
itu3		21850000	21870000	p	Fixed	5.155A
itu3		21870000	21924000	p	Fixed	5.155B
itu3		21924000	22000000	p	Aeronautical Mobile (R)	
itu3		22000000	22855000		-	5.156
itu3		22000000	22855000	p	Maritime Mobile	5.132
itu3		22855000	23000000		-	5.156
itu3		22855000	23000000	p	Fixed	
itu3		23000000	23200000		-	5.156
itu3		23000000	23200000	p	Fixed	
itu3		23000000	23200000	s	Mobile except aeronautical mobile (R)	
itu3		23200000	23350000	p	Fixed	5.156A
itu3		23200000	23350000	p	Aeronautical Mobile (OR)	
itu3		23350000	24000000	p	Fixed	
itu3		23350000	24000000	p	Mobile except aeronautical mobile	5.157
itu3		24000000	24890000	p	Fixed	
itu3		24000000	24890000	p	Land Mobile	
itu3		24890000	24990000	p	Amateur	
itu3		24890000	24990000	p	Amateur-Satellite	
itu3		24990000	25005000	p	Standard Frequency And Time Signal (25000 kHz)	
itu3		25005000	25010000	p	Standard Frequency And Time Signal	
itu3		25005000	25010000	s	Space Research	
itu3		25010000	25070000	p	Fixed	
itu3		25010000	25070000	p	Mobile except aeronautical mobile	
itu3		25070000	25210000	p	Maritime Mobile	
itu3		25210000	25550000	p	Fixed	
itu3		25210000	25550000	p	Mobile except aeronautical mobile	
itu3		25550000	25670000		-	5.149
itu3		25550000	25670000	p	Radio Astronomy	
itu3		25670000	26100000	p	Broadcasting	
itu3		26100000	26175000	p	Maritime Mobile	5.132
itu3		26175000	27500000		-	5.15
itu3		26175000	27500000	p	Fixed	
itu3		26175000	27500000	p	Mobile except aeronautical mobile	
itu3		27500000	28000000	p	Meteorological Aids	
itu3		27500000	28000000	p	Fixed	
itu3		27500000	28000000	p	Mobile	
itu3		28000000	29700000	p	Amateur	
itu3		28000000	29700000	p	Amateur-Satellite	
itu3		29700000	30005000	p	Fixed	
itu3		29700000	30005000	p	Mobile	
itu3		30005000	30010000	p	Space Operation (satellite identification)	
itu3		30005000	30010000	p	Fixed	
itu3		30005000	30010000	p	Mobile	
itu3		30005000	30010000	p	Space Research	
itu3		30010000	37500000	p	Fixed	
itu3		30010000	37500000	p	Mobile	
itu3		37500000	38250000		-	5.149
itu3		37500000	38250000	p	Fixed	
itu3		37500000	38250000	p	Mobile	
itu3		37500000	38250000	s	Radio Astronomy	
itu3		38250000	39986000	p	Fixed	
itu3		38250000	39986000	p	Mobile	
itu3		39986000	40020000	p	Fixed	
itu3		39986000	40020000	p	Mobile	
itu3		39986000	40020000	s	Space Research	
itu3		40020000	40980000		-	5.15
itu3		40020000	40980000	p	Fixed	
itu3		40020000	40980000	p	Mobile	
itu3		40980000	41015000		-	5.160,5.161
itu3		40980000	41015000	p	Fixed	
itu3		40980000	41015000	p	Mobile	
itu3		40980000	41015000	s	Space Research	
itu3		41015000	44000000		-	5.160,5.161
itu3		41015000	44000000	p	Fixed	
itu3		41015000	44000000	p	Mobile	
itu3		44000000	47000000		-	5.162,5.162A
itu3		44000000	47000000	p	Fixed	
itu3		44000000	47000000	p	Mobile	
itu3		47000000	50000000		-	5.162A
itu3		47000000	50000000	p	Fixed	
itu3		47000000	50000000	p	Mobile	
itu3		47000000	50000000	p	Broadcasting	
itu3		50000000	54000000		-	5.162A,5.166,5.167,5.168,5.170
itu3		50000000	54000000	p	Amateur	
itu3		54000000	68000000		-	5.162A
itu3		54000000	68000000	p	Fixed	
itu3		54000000	68000000	p	Mobile	
itu3		54000000	68000000	p	Broadcasting	
itu3		68000000	74800000		-	5.149,5.176,5.179
itu3		68000000	74800000	p	Fixed	
itu3		68000000	74800000	p	Mobile	
itu3		74800000	75200000		-	5.180,5.181
itu3		74800000	75200000	p	Aeronautical Radionavigation	
itu3		75200000	75400000		-	5.179
itu3		75200000	75400000	p	Fixed	
itu3		75200000	75400000	p	Mobile	
itu3		75400000	87000000		-	5.182,5.183,5.188
itu3		75400000	87000000	p	Fixed	
itu3		75400000	87000000	p	Mobile	
itu3		87000000	100000000	p	Fixed	
itu3		87000000	100000000	p	Mobile	
itu3		87000000	100000000	p	Broadcasting	
itu3		100000000	108000000		-	5.192,5.194
itu3		100000000	108000000	p	Broadcasting	
itu3		108000000	117975000		-	5.197,5.197A
itu3		108000000	117975000	p	Aeronautical Radionavigation	
itu3		117975000	137000000		-	5.111,5.200,5.201,5.202
itu3		117975000	137000000	p	Aeronautical Mobile (R)	
itu3		137000000	137025000		-	5.204,5.205,5.206,5.207,5.208
itu3		137000000	137025000	p	Space Operation (space-to-Earth)	
itu3		137000000	137025000	p	Meteorological-Satellite (space-to-Earth)	
itu3		137000000	137025000	p	Mobile-Satellite (space-to-Earth) 	5.208A,5.208B,5.209
itu3		137000000	137025000	p	Space Research (space-to-Earth)	
itu3		137000000	137025000	s	Fixed	
itu3		137000000	137025000	s	Mobile except aeronautical mobile (R)	
itu3		137025000	137175000		-	5.204,5.205,5.206,5.207,5.208
itu3		137025000	137175000	p	Space Operation (space-to-Earth)	
itu3		137025000	137175000	p	Meteorological-Satellite (space-to-Earth)	
itu3		137025000	137175000	p	Space Research (space-to-Earth)	
itu3		137025000	137175000	s	Fixed	
itu3		137025000	137175000	s	Mobile-Satellite (space-to-Earth) 	5.208A,5.208B,5.209
itu3		137025000	137175000	s	Mobile except aeronautical mobile (R)	
itu3		137175000	137825000		-	5.204,5.205,5.206,5.207,5.208
itu3		137175000	137825000	p	Space Operation (space-to-Earth)	
itu3		137175000	137825000	p	Meteorological-Satellite (space-to-Earth)	
itu3		137175000	137825000	p	Mobile-Satellite (space-to-Earth) 	5.208A,5.208B,5.209
itu3		137175000	137825000	p	Space Research (space-to-Earth)	
itu3		137175000	137825000	s	Fixed	
itu3		137175000	137825000	s	Mobile except aeronautical mobile (R)	
itu3		137825000	138000000		-	5.204,5.205,5.206,5.207,5.208
itu3		137825000	138000000	p	Space Operation (space-to-Earth)	
itu3		137825000	138000000	p	Meteorological-Satellite (space-to-Earth)	
itu3		137825000	138000000	p	Space Research (space-to-Earth)	
itu3		137825000	138000000	s	Fixed	
itu3		137825000	138000000	s	Mobile-Satellite (space-to-Earth) 	5.208A,5.208B,5.209
itu3		137825000	138000000	s	Mobile except aeronautical mobile (R)	
itu3		138000000	143600000		-	5.207,5.213
itu3		138000000	143600000	p	Fixed	
itu3		138000000	143600000	p	Mobile	
itu3		138000000	143600000	s	Space Research (space-to-Earth)	
itu3		143600000	143650000		-	5.207,5.213
itu3		143600000	143650000	p	Fixed	
itu3		143600000	143650000	p	Mobile	
itu3		143600000	143650000	p	Space Research (space-to-Earth)	
itu3		143650000	144000000		-	5.207,5.213
itu3		143650000	144000000	p	Fixed	
itu3		143650000	144000000	p	Mobile	
itu3		143650000	144000000	s	Space Research (space-to-Earth)	
itu3		144000000	146000000		-	5.216
itu3		144000000	146000000	p	Amateur	
itu3		144000000	146000000	p	Amateur-Satellite	
itu3		146000000	148000000		-	5.217
itu3		146000000	148000000	p	Amateur	
itu3		146000000	148000000	p	Fixed	
itu3		146000000	148000000	p	Mobile	
itu3		148000000	149900000		-	5.218,5.219,5.221
itu3		148000000	149900000	p	Fixed	
itu3		148000000	149900000	p	Mobile	
itu3		148000000	149900000	p	Mobile-Satellite (Earth-to-space) 	5.209
itu3		149900000	150050000		-	5.220,5.222,5.223
itu3		149900000	150050000	p	Mobile-Satellite (Earth-to-space) 	5.209,5.224A
itu3		149900000	150050000	p	Radionavigation-Satellite	5.224B
itu3		150050000	156487500		-	5.225,5.226
itu3		150050000	156487500	p	Fixed	
itu3		150050000	156487500	p	Mobile	
itu3		156487500	156562500		-	5.111,5.226,5.227
itu3		156487500	156562500	p	Maritime Mobile (distress and calling via DSC)	
itu3		156562500	156762500		-	5.225,5.226
itu3		156562500	156762500	p	Fixed	
itu3		156562500	156762500	p	Mobile	
itu3		156762500	156837500		-	5.111,5.226
itu3		156762500	156837500	p	Maritime Mobile (distress and calling)	
itu3		156837500	174000000		-	5.226,5.227A,5.230,5.231,5.232
itu3		156837500	174000000	p	Fixed	
itu3		156837500	174000000	p	Mobile	
itu3		174000000	223000000		-	5.233,5.238,5.240,5.245
itu3		174000000	223000000	p	Fixed	
itu3		174000000	223000000	p	Mobile	
itu3		174000000	223000000	p	Broadcasting	
itu3		223000000	230000000		-	5.25
itu3		223000000	230000000	p	Fixed	
itu3		223000000	230000000	p	Mobile	
itu3		223000000	230000000	p	Broadcasting	
itu3		223000000	230000000	p	Aeronautical Radionavigation	
itu3		223000000	230000000	s	Radiolocation	
itu3		230000000	235000000		-	5.25
itu3		230000000	235000000	p	Fixed	
itu3		230000000	235000000	p	Mobile	
itu3		230000000	235000000	p	Aeronautical Radionavigation	
itu3		235000000	267000000		-	5.111,5.252,5.254,5.256,5.256A
itu3		235000000	267000000	p	Fixed	
itu3		235000000	267000000	p	Mobile	
itu3		267000000	272000000		-	5.254,5.257
itu3		267000000	272000000	p	Fixed	
itu3		267000000	272000000	p	Mobile	
itu3		267000000	272000000	s	Space Operation (space-to-Earth)	
itu3		272000000	273000000		-	5.254
itu3		272000000	273000000	p	Space Operation (space-to-Earth)	
itu3		272000000	273000000	p	Fixed	
itu3		272000000	273000000	p	Mobile	
itu3		273000000	312000000		-	5.254
itu3		273000000	312000000	p	Fixed	
itu3		273000000	312000000	p	Mobile	
itu3		312000000	315000000	p	Fixed	
itu3		312000000	315000000	p	Mobile	
itu3		312000000	315000000	s	Mobile-Satellite (Earth-to-space) 	5.254,5.255
itu3		315000000	322000000		-	5.254
itu3		315000000	322000000	p	Fixed	
itu3		315000000	322000000	p	Mobile	
itu3		322000000	328600000		-	5.149
itu3		322000000	328600000	p	Fixed	
itu3		322000000	328600000	p	Mobile	
itu3		322000000	328600000	p	Radio Astronomy	
itu3		328600000	335400000		-	5.259
itu3		328600000	335400000	p	Aeronautical Radionavigation	5.258
itu3		335400000	387000000		-	5.254
itu3		335400000	387000000	p	Fixed	
itu3		335400000	387000000	p	Mobile	
itu3		387000000	390000000	p	Fixed	
itu3		387000000	390000000	p	Mobile	
itu3		387000000	390000000	s	Mobile-Satellite (space-to-Earth) 	5.208A,5.208B,5.254,5.255
itu3		390000000	399900000		-	5.254
itu3		390000000	399900000	p	Fixed	
itu3		390000000	399900000	p	Mobile	
itu3		399900000	400050000		-	5.22
itu3		399900000	400050000	p	Mobile-Satellite (Earth-to-space) 	5.209,5.224A
itu3		399900000	400050000	p	Radionavigation-Satellite	5.222,5.224B,5.260
itu3		400050000	400150000		-	5.261,5.262
itu3		400050000	400150000	p	Standard Frequency And Time Signal-Satellite (400.1 MHz)	
itu3		400150000	401000000		-	5.262,5.264
itu3		400150000	401000000	p	Meteorological Aids	
itu3		400150000	401000000	p	Meteorological-Satellite (space-to-Earth)	
itu3		400150000	401000000	p	Mobile-Satellite (space-to-Earth) 	5.208A,5.208B,5.209
itu3		400150000	401000000	p	Space Research (space-to-Earth) 	5.263
itu3		400150000	401000000	s	Space Operation (space-to-Earth)	
itu3		401000000	402000000	p	Meteorological Aids	
itu3		401000000	402000000	p	Space Operation (space-to-Earth)	
itu3		401000000	402000000	p	Earth Exploration-Satellite (Earth-to-space)	
itu3		401000000	402000000	p	Meteorological-Satellite (Earth-to-space)	
itu3		401000000	402000000	s	Fixed	
itu3		401000000	402000000	s	Mobile except aeronautical mobile	
itu3		402000000	403000000	p	Meteorological Aids	
itu3		402000000	403000000	p	Earth Exploration-Satellite (Earth-to-space)	
itu3		402000000	403000000	p	Meteorological-Satellite (Earth-to-space)	
itu3		402000000	403000000	s	Fixed	
itu3		402000000	403000000	s	Mobile except aeronautical mobile	
itu3		403000000	406000000	p	Meteorological Aids	
itu3		403000000	406000000	s	Fixed	
itu3		403000000	406000000	s	Mobile except aeronautical mobile	
itu3		406000000	406100000		-	5.266,5.267
itu3		406000000	406100000	p	Mobile-Satellite (Earth-to-space)	
itu3		406100000	410000000		-	5.149
itu3		406100000	410000000	p	Fixed	
itu3		406100000	410000000	p	Mobile except aeronautical mobile	
itu3		406100000	410000000	p	Radio Astronomy	
itu3		410000000	420000000	p	Fixed	
itu3		410000000	420000000	p	Mobile except aeronautical mobile	
itu3		410000000	420000000	p	Space Research (space-to-space) 	5.268
itu3		420000000	430000000		-	5.269,5.270,5.271
itu3		420000000	430000000	p	Fixed	
itu3		420000000	430000000	p	Mobile except aeronautical mobile	
itu3		420000000	430000000	s	Radiolocation	
itu3		430000000	432000000		-	5.271,5.276,5.277,5.278,5.279
itu3		430000000	432000000	p	Radiolocation	
itu3		430000000	432000000	s	Amateur	
itu3		432000000	438000000		-	5.271,5.276,5.277,5.278,5.279,5.281,5.282
itu3		432000000	438000000	p	Radiolocation	
itu3		432000000	438000000	s	Amateur	
itu3		432000000	438000000	s	Earth Exploration-Satellite (active) 	5.279A
itu3		438000000	440000000		-	5.271,5.276,5.277,5.278,5.279
itu3		438000000	440000000	p	Radiolocation	
itu3		438000000	440000000	s	Amateur	
itu3		440000000	450000000		-	5.269,5.270,5.271,5.284,5.285,5.286
itu3		440000000	450000000	p	Fixed	
itu3		440000000	450000000	p	Mobile except aeronautical mobile	
itu3		440000000	450000000	s	Radiolocation	
itu3		450000000	455000000		-	5.209,5.271,5.286,5.286A,5.286B,5.286C,5.286D,5.286E
itu3		450000000	455000000	p	Fixed	
itu3		450000000	455000000	p	Mobile	5.286AA
itu3		455000000	456000000		-	5.209,5.271,5.286A,5.286B,5.286C,5.286E
itu3		455000000	456000000	p	Fixed	
itu3		455000000	456000000	p	Mobile	5.286AA
itu3		456000000	459000000		-	5.271,5.287,5.288
itu3		456000000	459000000	p	Fixed	
itu3		456000000	459000000	p	Mobile	5.286AA
itu3		459000000	460000000		-	5.209,5.271,5.286A,5.286B,5.286C,5.286E
itu3		459000000	460000000	p	Fixed	
itu3		459000000	460000000	p	Mobile	5.286AA
itu3		460000000	470000000		-	5.287,5.288,5.289,5.290
itu3		460000000	470000000	p	Fixed	
itu3		460000000	470000000	p	Mobile	5.286AA
itu3		460000000	470000000	s	Meteorological-Satellite (space-to-Earth)	
itu3		470000000	585000000		-	5.291,5.298
itu3		470000000	585000000	p	Fixed	
itu3		470000000	585000000	p	Mobile	
