Region	Sub-table	lower_frequency	upper_frequency	Category	Service	Footnotes
ITU Region 1		2498000	2501000	p	Standard Frequency And Time Signal (2500 kHz)	
ITU Region 1		2501000	2502000	p	Standard Frequency And Time Signal	
ITU Region 1		2501000	2502000	s	Space Research	
ITU Region 1		2502000	2625000		-	5.92,5.103,5.114
ITU Region 1		2502000	2625000	p	Fixed	
ITU Region 1		2502000	2625000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		2625000	2650000		-	5.92
ITU Region 1		2625000	2650000	p	Maritime Mobile	
ITU Region 1		2625000	2650000	p	Maritime Radionavigation	
ITU Region 1		2650000	2850000		-	5.92,5.103
ITU Region 1		2650000	2850000	p	Fixed	
ITU Region 1		2650000	2850000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		2850000	3025000		-	5.111,5.115
ITU Region 1		2850000	3025000	p	Aeronautical Mobile (R)	
ITU Region 1		3025000	3155000	p	Aeronautical Mobile (OR)	
ITU Region 1		3155000	3200000		-	5.116,5.117
ITU Region 1		3155000	3200000	p	Fixed	
ITU Region 1		3155000	3200000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		3200000	3230000		-	5.116
ITU Region 1		3200000	3230000	p	Fixed	
ITU Region 1		3200000	3230000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		3200000	3230000	p	Broadcasting	5.113
ITU Region 1		3230000	3400000		-	5.116,5.118
ITU Region 1		3230000	3400000	p	Fixed	
ITU Region 1		3230000	3400000	p	Mobile except aeronautical mobile	
ITU Region 1		3230000	3400000	p	Broadcasting	5.113
ITU Region 1		3400000	3500000	p	Aeronautical Mobile (R)	
ITU Region 1		3500000	3800000		-	5.92
ITU Region 1		3500000	3800000	p	Amateur	
ITU Region 1		3500000	3800000	p	Fixed	
ITU Region 1		3500000	3800000	p	Mobile except aeronautical mobile	
ITU Region 1		3800000	3900000	p	Fixed	
ITU Region 1		3800000	3900000	p	Aeronautical Mobile (OR)	
ITU Region 1		3800000	3900000	p	Land Mobile	
ITU Region 1		3900000	3950000		-	5.123
ITU Region 1		3900000	3950000	p	Aeronautical Mobile (OR)	
ITU Region 1		3950000	4000000	p	Fixed	
ITU Region 1		3950000	4000000	p	Broadcasting	
ITU Region 1		4000000	4063000		-	5.126
ITU Region 1		4000000	4063000	p	Fixed	
ITU Region 1		4000000	4063000	p	Maritime Mobile	5.127
ITU Region 1		4063000	4438000		-	5.128
ITU Region 1		4063000	4438000	p	Maritime Mobile	5.79A,5.109,5.110,5.130,5.131,5.132
ITU Region 1		4438000	4650000	p	Fixed	
ITU Region 1		4438000	4650000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		4650000	4700000	p	Aeronautical Mobile (R)	
ITU Region 1		4700000	4750000	p	Aeronautical Mobile (OR)	
ITU Region 1		4750000	4850000	p	Fixed	
ITU Region 1		4750000	4850000	p	Aeronautical Mobile (OR)	
ITU Region 1		4750000	4850000	p	Land Mobile	
ITU Region 1		4750000	4850000	p	Broadcasting	5.113
ITU Region 1		4850000	4995000	p	Fixed	
ITU Region 1		4850000	4995000	p	Land Mobile	
ITU Region 1		4850000	4995000	p	Broadcasting	5.113
ITU Region 1		4995000	5003000	p	Standard Frequency And Time Signal (5000 kHz)	
ITU Region 1		5003000	5005000	p	Standard Frequency And Time Signal	
ITU Region 1		5003000	5005000	s	Space Research	
ITU Region 1		5005000	5060000	p	Fixed	
ITU Region 1		5005000	5060000	p	Broadcasting	5.113
ITU Region 1		5060000	5250000		-	5.133
ITU Region 1		5060000	5250000	p	Fixed	
ITU Region 1		5060000	5250000	s	Mobile except aeronautical mobile	
ITU Region 1		5250000	5450000	p	Fixed	
ITU Region 1		5250000	5450000	p	Mobile except aeronautical mobile	
ITU Region 1		5450000	5480000	p	Fixed	
ITU Region 1		5450000	5480000	p	Aeronautical Mobile (OR)	
ITU Region 1		5450000	5480000	p	Land Mobile	
ITU Region 1		5480000	5680000		-	5.111,5.115
ITU Region 1		5480000	5680000	p	Aeronautical Mobile (R)	
ITU Region 1		5680000	5730000		-	5.111,5.115
ITU Region 1		5680000	5730000	p	Aeronautical Mobile (OR)	
ITU Region 1		5730000	5900000	p	Fixed	
ITU Region 1		5730000	5900000	p	Land Mobile	
ITU Region 1		5900000	5950000		-	5.136
ITU Region 1		5900000	5950000	p	Broadcasting	5.134
ITU Region 1		5950000	6200000	p	Broadcasting	
ITU Region 1		6200000	6525000		-	5.137
ITU Region 1		6200000	6525000	p	Maritime Mobile	5.109,5.110,5.130,5.132
ITU Region 1		6525000	6685000	p	Aeronautical Mobile (R)	
ITU Region 1		6685000	6765000	p	Aeronautical Mobile (OR)	
ITU Region 1		6765000	7000000		-	5.138
ITU Region 1		6765000	7000000	p	Fixed	
ITU Region 1		6765000	7000000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		7000000	7100000		-	5.140,5.141,5.141A
ITU Region 1		7000000	7100000	p	Amateur	
ITU Region 1		7000000	7100000	p	Amateur-Satellite	
ITU Region 1		7100000	7200000		-	5.141A,5.141B,5.142
ITU Region 1		7100000	7200000	p	Amateur	
ITU Region 1		7200000	7300000	p	Broadcasting	
ITU Region 1		7300000	7400000		-	5.143,5.143A,5.143B,5.143C,5.143D
ITU Region 1		7300000	7400000	p	Broadcasting	5.134
ITU Region 1		7400000	7450000		-	5.143B,5.143C
ITU Region 1		7400000	7450000	p	Broadcasting	
ITU Region 1		7450000	8100000		-	5.144
ITU Region 1		7450000	8100000	p	Fixed	
ITU Region 1		7450000	8100000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		8100000	8195000	p	Fixed	
ITU Region 1		8100000	8195000	p	Maritime Mobile	
ITU Region 1		8195000	8815000		-	5.111
ITU Region 1		8195000	8815000	p	Maritime Mobile	5.109,5.110,5.132,5.145
ITU Region 1		8815000	8965000	p	Aeronautical Mobile (R)	
ITU Region 1		8965000	9040000	p	Aeronautical Mobile (OR)	
ITU Region 1		9040000	9400000	p	Fixed	
ITU Region 1		9400000	9500000		-	5.146
ITU Region 1		9400000	9500000	p	Broadcasting	5.134
ITU Region 1		9500000	9900000		-	5.147
ITU Region 1		9500000	9900000	p	Broadcasting	
ITU Region 1		9900000	9995000	p	Fixed	
ITU Region 1		9995000	10003000		-	5.111
ITU Region 1		9995000	10003000	p	Standard Frequency And Time Signal (10000 kHz)	
ITU Region 1		10003000	10005000		-	5.111
ITU Region 1		10003000	10005000	p	Standard Frequency And Time Signal	
ITU Region 1		10003000	10005000	s	Space Research	
ITU Region 1		10005000	10100000		-	5.111
ITU Region 1		10005000	10100000	p	Aeronautical Mobile (R)	
ITU Region 1		10100000	10150000	p	Fixed	
ITU Region 1		10100000	10150000	s	Amateur	
ITU Region 1		10150000	11175000	p	Fixed	
ITU Region 1		10150000	11175000	s	Mobile except aeronautical mobile (R)	
ITU Region 1		11175000	11275000	p	Aeronautical Mobile (OR)	
ITU Region 1		11275000	11400000	p	Aeronautical Mobile (R)	
ITU Region 1		11400000	11600000	p	Fixed	
ITU Region 1		11600000	11650000		-	5.146
ITU Region 1		11600000	11650000	p	Broadcasting	5.134
ITU Region 1		11650000	12050000		-	5.147
ITU Region 1		11650000	12050000	p	Broadcasting	
ITU Region 1		12050000	12100000		-	5.146
ITU Region 1		12050000	12100000	p	Broadcasting	5.134
ITU Region 1		12100000	12230000	p	Fixed	
ITU Region 1		12230000	13200000	p	Maritime Mobile	5.109,5.110,5.132,5.145
ITU Region 1		13200000	13260000	p	Aeronautical Mobile (OR)	
ITU Region 1		13260000	13360000	p	Aeronautical Mobile (R)	
ITU Region 1		13360000	13410000		-	5.149
ITU Region 1		13360000	13410000	p	Fixed	
ITU Region 1		13360000	13410000	p	Radio Astronomy	
ITU Region 1		13410000	13570000		-	5.15
ITU Region 1		13410000	13570000	p	Fixed	
ITU Region 1		13410000	13570000	s	Mobile except aeronautical mobile (R)	
ITU Region 1		13570000	13600000		-	5.151
ITU Region 1		13570000	13600000	p	Broadcasting	5.134
ITU Region 1		13600000	13800000	p	Broadcasting	
ITU Region 1		13800000	13870000		-	5.151
ITU Region 1		13800000	13870000	p	Broadcasting	5.134
ITU Region 1		13870000	14000000	p	Fixed	
ITU Region 1		13870000	14000000	s	Mobile except aeronautical mobile (R)	
ITU Region 1		14000000	14250000	p	Amateur	
ITU Region 1		14000000	14250000	p	Amateur-Satellite	
ITU Region 1		14250000	14350000		-	5.152
ITU Region 1		14250000	14350000	p	Amateur	
ITU Region 1		14350000	14990000	p	Fixed	
ITU Region 1		14350000	14990000	s	Mobile except aeronautical mobile (R)	
ITU Region 1		14990000	15005000		-	5.111
ITU Region 1		14990000	15005000	p	Standard Frequency And Time Signal (15000 kHz)	
ITU Region 1		15005000	15010000	p	Standard Frequency And Time Signal	
ITU Region 1		15005000	15010000	s	Space Research	
ITU Region 1		15010000	15100000	p	Aeronautical Mobile (OR)	
ITU Region 1		15100000	15600000	p	Broadcasting	
ITU Region 1		15600000	15800000		-	5.146
ITU Region 1		15600000	15800000	p	Broadcasting	5.134
ITU Region 1		15800000	16360000		-	5.153
ITU Region 1		15800000	16360000	p	Fixed	
ITU Region 1		16360000	17410000	p	Maritime Mobile	5.109,5.110,5.132,5.145
ITU Region 1		17410000	17480000	p	Fixed	
ITU Region 1		17480000	17550000		-	5.146
ITU Region 1		17480000	17550000	p	Broadcasting	5.134
ITU Region 1		17550000	17900000	p	Broadcasting	
ITU Region 1		17900000	17970000	p	Aeronautical Mobile (R)	
ITU Region 1		17970000	18030000	p	Aeronautical Mobile (OR)	
ITU Region 1		18030000	18052000	p	Fixed	
ITU Region 1		18052000	18068000	p	Fixed	
ITU Region 1		18052000	18068000	s	Space Research	
ITU Region 1		18068000	18168000		-	5.154
ITU Region 1		18068000	18168000	p	Amateur	
ITU Region 1		18068000	18168000	p	Amateur-Satellite	
ITU Region 1		18168000	18780000	p	Fixed	
ITU Region 1		18168000	18780000	s	Mobile except aeronautical mobile	
ITU Region 1		18780000	18900000	p	Maritime Mobile	
ITU Region 1		18900000	19020000		-	5.146
ITU Region 1		18900000	19020000	p	Broadcasting	5.134
ITU Region 1		19020000	19680000	p	Fixed	
ITU Region 1		19680000	19800000	p	Maritime Mobile	5.132
ITU Region 1		19800000	19990000	p	Fixed	
ITU Region 1		19990000	19995000		-	5.111
ITU Region 1		19990000	19995000	p	Standard Frequency And Time Signal	
ITU Region 1		19990000	19995000	s	Space Research	
ITU Region 1		19995000	20010000		-	5.111
ITU Region 1		19995000	20010000	p	Standard Frequency And Time Signal (20000 kHz)	
ITU Region 1		20010000	21000000	p	Fixed	
ITU Region 1		20010000	21000000	s	Mobile	
ITU Region 1		21000000	21450000	p	Amateur	
ITU Region 1		21000000	21450000	p	Amateur-Satellite	
ITU Region 1		21450000	21850000	p	Broadcasting	
ITU Region 1		21850000	21870000		-	5.155
ITU Region 1		21850000	21870000	p	Fixed	5.155A
ITU Region 1		21870000	21924000	p	Fixed	5.155B
ITU Region 1		21924000	22000000	p	Aeronautical Mobile (R)	
ITU Region 1		22000000	22855000		-	5.156
ITU Region 1		22000000	22855000	p	Maritime Mobile	5.132
ITU Region 1		22855000	23000000		-	5.156
ITU Region 1		22855000	23000000	p	Fixed	
ITU Region 1		23000000	23200000		-	5.156
ITU Region 1		23000000	23200000	p	Fixed	
ITU Region 1		23000000	23200000	s	Mobile except aeronautical mobile (R)	
ITU Region 1		23200000	23350000	p	Fixed	5.156A
ITU Region 1		23200000	23350000	p	Aeronautical Mobile (OR)	
ITU Region 1		23350000	24000000	p	Fixed	
ITU Region 1		23350000	24000000	p	Mobile except aeronautical mobile	5.157
ITU Region 1		24000000	24890000	p	Fixed	
ITU Region 1		24000000	24890000	p	Land Mobile	
ITU Region 1		24890000	24990000	p	Amateur	
ITU Region 1		24890000	24990000	p	Amateur-Satellite	
ITU Region 1		24990000	25005000	p	Standard Frequency And Time Signal (25000 kHz)	
ITU Region 1		25005000	25010000	p	Standard Frequency And Time Signal	
ITU Region 1		25005000	25010000	s	Space Research	
ITU Region 1		25010000	25070000	p	Fixed	
ITU Region 1		25010000	25070000	p	Mobile except aeronautical mobile	
ITU Region 1		25070000	25210000	p	Maritime Mobile	
ITU Region 1		25210000	25550000	p	Fixed	
ITU Region 1		25210000	25550000	p	Mobile except aeronautical mobile	
ITU Region 1		25550000	25670000		-	5.149
ITU Region 1		25550000	25670000	p	Radio Astronomy	
ITU Region 1		25670000	26100000	p	Broadcasting	
ITU Region 1		26100000	26175000	p	Maritime Mobile	5.132
ITU Region 1		26175000	27500000		-	5.15
ITU Region 1		26175000	27500000	p	Fixed	
ITU Region 1		26175000	27500000	p	Mobile except aeronautical mobile	
ITU Region 1		27500000	28000000	p	Meteorological Aids	
ITU Region 1		27500000	28000000	p	Fixed	
ITU Region 1		27500000	28000000	p	Mobile	
ITU Region 1		28000000	29700000	p	Amateur	
ITU Region 1		28000000	29700000	p	Amateur-Satellite	
ITU Region 1		29700000	30005000	p	Fixed	
ITU Region 1		29700000	30005000	p	Mobile	
ITU Region 1		30005000	30010000	p	Space Operation (satellite identification)	
ITU Region 1		30005000	30010000	p	Fixed	
ITU Region 1		30005000	30010000	p	Mobile	
ITU Region 1		30005000	30010000	p	Space Research	
ITU Region 1		30010000	37500000	p	Fixed	
ITU Region 1		30010000	37500000	p	Mobile	
ITU Region 1		37500000	38250000		-	5.149
ITU Region 1		37500000	38250000	p	Fixed	
ITU Region 1		37500000	38250000	p	Mobile	
ITU Region 1		37500000	38250000	s	Radio Astronomy	
ITU Region 1		38250000	39986000	p	Fixed	
ITU Region 1		38250000	39986000	p	Mobile	
ITU Region 1		39986000	40020000	p	Fixed	
ITU Region 1		39986000	40020000	p	Mobile	
ITU Region 1		39986000	40020000	s	Space Research	
ITU Region 1		40020000	40980000		-	5.15
ITU Region 1		40020000	40980000	p	Fixed	
ITU Region 1		40020000	40980000	p	Mobile	
ITU Region 1		40980000	41015000		-	5.160,5.161
ITU Region 1		40980000	41015000	p	Fixed	
ITU Region 1		40980000	41015000	p	Mobile	
ITU Region 1		40980000	41015000	s	Space Research	
ITU Region 1		41015000	44000000		-	5.160,5.161
ITU Region 1		41015000	44000000	p	Fixed	
ITU Region 1		41015000	44000000	p	Mobile	
ITU Region 1		44000000	47000000		-	5.162,5.162A
ITU Region 1		44000000	47000000	p	Fixed	
ITU Region 1		44000000	47000000	p	Mobile	
ITU Region 1		47000000	68000000		-	5.162A,5.163,5.164,5.165,5.169,5.171
ITU Region 1		47000000	68000000	p	Broadcasting	
ITU Region 1		68000000	74800000		-	5.149,5.175,5.177,5.179
ITU Region 1		68000000	74800000	p	Fixed	
ITU Region 1		68000000	74800000	p	Mobile except aeronautical mobile	
ITU Region 1		74800000	75200000		-	5.180,5.181
ITU Region 1		74800000	75200000	p	Aeronautical Radionavigation	
ITU Region 1		75200000	87500000		-	5.175,5.179,5.187
ITU Region 1		75200000	87500000	p	Fixed	
ITU Region 1		75200000	87500000	p	Mobile except aeronautical mobile	
ITU Region 1		87500000	100000000		-	5.19
ITU Region 1		87500000	100000000	p	Broadcasting	
ITU Region 1		100000000	108000000		-	5.192,5.194
ITU Region 1		100000000	108000000	p	Broadcasting	
ITU Region 1		108000000	117975000		-	5.197,5.197A
ITU Region 1		108000000	117975000	p	Aeronautical Radionavigation	
ITU Region 1		117975000	137000000		-	5.111,5.200,5.201,5.202
ITU Region 1		117975000	137000000	p	Aeronautical Mobile (R)	
ITU Region 1		137000000	137025000		-	5.204,5.205,5.206,5.207,5.208
ITU Region 1		137000000	137025000	p	Space Operation (space-to-Earth)	
ITU Region 1		137000000	137025000	p	Meteorological-Satellite (space-to-Earth)	
ITU Region 1		137000000	137025000	p	Mobile-Satellite (space-to-Earth) 	5.208A,5.208B,5.209
ITU Region 1		137000000	137025000	p	Space Research (space-to-Earth)	
ITU Region 1		137000000	137025000	s	Fixed	
ITU Region 1		137000000	137025000	s	Mobile except aeronautical mobile (R)	
ITU Region 1		137025000	137175000		-	5.204,5.205,5.206,5.207,5.208
ITU Region 1		137025000	137175000	p	Space Operation (space-to-Earth)	
ITU Region 1		137025000	137175000	p	Meteorological-Satellite (space-to-Earth)	
ITU Region 1		137025000	137175000	p	Space Research (space-to-Earth)	
ITU Region 1		137025000	137175000	s	Fixed	
ITU Region 1		137025000	137175000	s	Mobile-Satellite (space-to-Earth) 	5.208A,5.208B,5.209
ITU Region 1		137025000	137175000	s	Mobile except aeronautical mobile (R)	
ITU Region 1		137175000	137825000		-	5.204,5.205,5.206,5.207,5.208
ITU Region 1		137175000	137825000	p	Space Operation (space-to-Earth)	
ITU Region 1		137175000	137825000	p	Meteorological-Satellite (space-to-Earth)	
ITU Region 1		137175000	137825000	p	Mobile-Satellite (space-to-Earth) 	5.208A,5.208B,5.209
ITU Region 1		137175000	137825000	p	Space Research (space-to-Earth)	
ITU Region 1		137175000	137825000	s	Fixed	
ITU Region 1		137175000	137825000	s	Mobile except aeronautical mobile (R)	
ITU Region 1		137825000	138000000		-	5.204,5.205,5.206,5.207,5.208
ITU Region 1		137825000	138000000	p	Space Operation (space-to-Earth)	
ITU Region 1		137825000	138000000	p	Meteorological-Satellite (space-to-Earth)	
ITU Region 1		137825000	138000000	p	Space Research (space-to-Earth)	
ITU Region 1		137825000	138000000	s	Fixed	
ITU Region 1		137825000	138000000	s	Mobile-Satellite (space-to-Earth) 	5.208A,5.208B,5.209
ITU Region 1		137825000	138000000	s	Mobile except aeronautical mobile (R)	
ITU Region 1		138000000	143600000		-	5.210,5.211,5.212,5.214
ITU Region 1		138000000	143600000	p	Aeronautical Mobile (OR)	
ITU Region 1		143600000	143650000		-	5.211,5.212,5.214
ITU Region 1		143600000	143650000	p	Aeronautical Mobile (OR)	
ITU Region 1		143600000	143650000	p	Space Research (space-to-Earth)	
ITU Region 1		143650000	144000000		-	5.210,5.211,5.212,5.214
ITU Region 1		143650000	144000000	p	Aeronautical Mobile (OR)	
ITU Region 1		144000000	146000000		-	5.216
ITU Region 1		144000000	146000000	p	Amateur	
ITU Region 1		144000000	146000000	p	Amateur-Satellite	
ITU Region 1		146000000	148000000	p	Fixed	
ITU Region 1		146000000	148000000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		148000000	149900000		-	5.218,5.219,5.221
ITU Region 1		148000000	149900000	p	Fixed	
ITU Region 1		148000000	149900000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		148000000	149900000	p	Mobile-Satellite (Earth-to-space) 	5.209
ITU Region 1		149900000	150050000		-	5.220,5.222,5.223
ITU Region 1		149900000	150050000	p	Mobile-Satellite (Earth-to-space) 	5.209,5.224A
ITU Region 1		149900000	150050000	p	Radionavigation-Satellite	5.224B
ITU Region 1		150050000	153000000		-	5.149
ITU Region 1		150050000	153000000	p	Fixed	
ITU Region 1		150050000	153000000	p	Mobile except aeronautical mobile	
ITU Region 1		150050000	153000000	p	Radio Astronomy	
ITU Region 1		153000000	154000000	p	Fixed	
ITU Region 1		153000000	154000000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		153000000	154000000	s	Meteorological Aids	
ITU Region 1		154000000	156487500		-	5.226
ITU Region 1		154000000	156487500	p	Fixed	
ITU Region 1		154000000	156487500	p	Mobile except aeronautical mobile (R)	
ITU Region 1		156487500	156562500		-	5.111,5.226,5.227
ITU Region 1		156487500	156562500	p	Maritime Mobile (distress and calling via DSC)	
ITU Region 1		156562500	156762500		-	5.226
ITU Region 1		156562500	156762500	p	Fixed	
ITU Region 1		156562500	156762500	p	Mobile except aeronautical mobile (R)	
ITU Region 1		156762500	156837500		-	5.111,5.226
ITU Region 1		156762500	156837500	p	Maritime Mobile (distress and calling)	
ITU Region 1		156837500	174000000		-	5.226,5.227A,5.229
ITU Region 1		156837500	174000000	p	Fixed	
ITU Region 1		156837500	174000000	p	Mobile except aeronautical mobile	
ITU Region 1		174000000	223000000		-	5.235,5.237,5.243
ITU Region 1		174000000	223000000	p	Broadcasting	
ITU Region 1		223000000	230000000		-	5.243,5.246,5.247
ITU Region 1		223000000	230000000	p	Broadcasting	
ITU Region 1		223000000	230000000	s	Fixed	
ITU Region 1		223000000	230000000	s	Mobile	
ITU Region 1		230000000	235000000		-	5.247,5.251,5.252
ITU Region 1		230000000	235000000	p	Fixed	
ITU Region 1		230000000	235000000	p	Mobile	
ITU Region 1		235000000	267000000		-	5.111,5.252,5.254,5.256,5.256A
ITU Region 1		235000000	267000000	p	Fixed	
ITU Region 1		235000000	267000000	p	Mobile	
ITU Region 1		267000000	272000000		-	5.254,5.257
ITU Region 1		267000000	272000000	p	Fixed	
ITU Region 1		267000000	272000000	p	Mobile	
ITU Region 1		267000000	272000000	s	Space Operation (space-to-Earth)	
ITU Region 1		272000000	273000000		-	5.254
ITU Region 1		272000000	273000000	p	Space Operation (space-to-Earth)	
ITU Region 1		272000000	273000000	p	Fixed	
ITU Region 1		272000000	273000000	p	Mobile	
ITU Region 1		273000000	312000000		-	5.254
ITU Region 1		273000000	312000000	p	Fixed	
ITU Region 1		273000000	312000000	p	Mobile	
ITU Region 1		312000000	315000000	p	Fixed	
ITU Region 1		312000000	315000000	p	Mobile	
ITU Region 1		312000000	315000000	s	Mobile-Satellite (Earth-to-space) 	5.254,5.255
ITU Region 1		315000000	322000000		-	5.254
ITU Region 1		315000000	322000000	p	Fixed	
ITU Region 1		315000000	322000000	p	Mobile	
ITU Region 1		322000000	328600000		-	5.149
ITU Region 1		322000000	328600000	p	Fixed	
ITU Region 1		322000000	328600000	p	Mobile	
