Region	Sub-table	Start Frequency	End Frequency	Allocations	Footnotes
ITU Region 2		3500000	3750000	-	5.119
ITU Region 2		3500000	3750000	AMATEUR	
ITU Region 2		3750000	4000000	-	5.122  5.125
ITU Region 2		3750000	4000000	AMATEUR	
ITU Region 2		3750000	4000000	FIXED	
ITU Region 2		3750000	4000000	MOBILE except aeronautical mobile (R)	
ITU Region 2		4000000	4063000	-	5.126
ITU Region 2		4000000	4063000	FIXED	
ITU Region 2		4000000	4063000	MARITIME MOBILE	5.127
ITU Region 2		4063000	4438000	-	5.128
ITU Region 2		4063000	4438000	MARITIME MOBILE	5.79A  5.109  5.110  5.130  5.131  5.132
ITU Region 2		4438000	4650000	FIXED	
ITU Region 2		4438000	4650000	MOBILE except aeronautical mobile (R)	
ITU Region 2		4650000	4700000	AERONAUTICAL MOBILE (R)	
ITU Region 2		4700000	4750000	AERONAUTICAL MOBILE (OR)	
ITU Region 2		4750000	4850000	FIXED	
ITU Region 2		4750000	4850000	MOBILE except aeronautical mobile (R)	
ITU Region 2		4750000	4850000	BROADCASTING	5.113
ITU Region 2		4850000	4995000	FIXED	
ITU Region 2		4850000	4995000	LAND MOBILE	
ITU Region 2		4850000	4995000	BROADCASTING	5.113
ITU Region 2		4995000	5003000	STANDARD FREQUENCY AND TIME SIGNAL (5000 kHz)	
ITU Region 2		5003000	5005000	STANDARD FREQUENCY AND TIME SIGNAL	
ITU Region 2		5003000	5005000	Space research	
ITU Region 2		5005000	5060000	FIXED	
ITU Region 2		5005000	5060000	BROADCASTING	5.113
ITU Region 2		5060000	5250000	-	5.133
ITU Region 2		5060000	5250000	FIXED	
ITU Region 2		5060000	5250000	Mobile except aeronautical mobile	
ITU Region 2		5250000	5450000	FIXED	
ITU Region 2		5250000	5450000	MOBILE except aeronautical mobile	
ITU Region 2		5450000	5480000	AERONAUTICAL MOBILE (R)	
ITU Region 2		5480000	5680000	-	5.111  5.115
ITU Region 2		5480000	5680000	AERONAUTICAL MOBILE (R)	
ITU Region 2		5680000	5730000	-	5.111  5.115
ITU Region 2		5680000	5730000	AERONAUTICAL MOBILE (OR)	
ITU Region 2		5730000	5900000	FIXED	
ITU Region 2		5730000	5900000	MOBILE except aeronautical mobile (R)	
ITU Region 2		5900000	5950000	-	5.136
ITU Region 2		5900000	5950000	BROADCASTING	5.134
ITU Region 2		5950000	6200000	BROADCASTING	
ITU Region 2		6200000	6525000	-	5.137
ITU Region 2		6200000	6525000	MARITIME MOBILE	5.109  5.110  5.130  5.132
ITU Region 2		6525000	6685000	AERONAUTICAL MOBILE (R)	
ITU Region 2		6685000	6765000	AERONAUTICAL MOBILE (OR)	
ITU Region 2		6765000	7000000	-	5.138
ITU Region 2		6765000	7000000	FIXED	
ITU Region 2		6765000	7000000	MOBILE except aeronautical mobile (R)	
ITU Region 2		7000000	7100000	-	5.140  5.141  5.141A
ITU Region 2		7000000	7100000	AMATEUR	
ITU Region 2		7000000	7100000	AMATEUR-SATELLITE	
ITU Region 2		7100000	7200000	-	5.141A  5.141B  5.142
ITU Region 2		7100000	7200000	AMATEUR	
ITU Region 2		7200000	7300000	-	5.142
ITU Region 2		7200000	7300000	AMATEUR	
ITU Region 2		7300000	7400000	-	5.143  5.143A  5.143B  5.143C  5.143D
ITU Region 2		7300000	7400000	BROADCASTING	5.134
ITU Region 2		7400000	7450000	FIXED	
ITU Region 2		7400000	7450000	MOBILE except aeronautical mobile (R)	
ITU Region 2		7450000	8100000	-	5.144
ITU Region 2		7450000	8100000	FIXED	
ITU Region 2		7450000	8100000	MOBILE except aeronautical mobile (R)	
ITU Region 2		8100000	8195000	FIXED	
ITU Region 2		8100000	8195000	MARITIME MOBILE	
ITU Region 2		8195000	8815000	-	5.111
ITU Region 2		8195000	8815000	MARITIME MOBILE	5.109  5.110  5.132  5.145
ITU Region 2		8815000	8965000	AERONAUTICAL MOBILE (R)	
ITU Region 2		8965000	9040000	AERONAUTICAL MOBILE (OR)	
ITU Region 2		9040000	9400000	FIXED	
ITU Region 2		9400000	9500000	-	5.146
ITU Region 2		9400000	9500000	BROADCASTING	5.134
ITU Region 2		9500000	9900000	-	5.147
ITU Region 2		9500000	9900000	BROADCASTING	
ITU Region 2		9900000	9995000	FIXED	
ITU Region 2		9995000	10003000	-	5.111
ITU Region 2		9995000	10003000	STANDARD FREQUENCY AND TIME SIGNAL (10000 kHz)	
ITU Region 2		10003000	10005000	-	5.111
ITU Region 2		10003000	10005000	STANDARD FREQUENCY AND TIME SIGNAL	
ITU Region 2		10003000	10005000	Space research	
ITU Region 2		10005000	10100000	-	5.111
ITU Region 2		10005000	10100000	AERONAUTICAL MOBILE (R)	
ITU Region 2		10100000	10150000	FIXED	
ITU Region 2		10100000	10150000	Amateur	
ITU Region 2		10150000	11175000	FIXED	
ITU Region 2		10150000	11175000	Mobile except aeronautical mobile (R)	
ITU Region 2		11175000	11275000	AERONAUTICAL MOBILE (OR)	
ITU Region 2		11275000	11400000	AERONAUTICAL MOBILE (R)	
ITU Region 2		11400000	11600000	FIXED	
ITU Region 2		11600000	11650000	-	5.146
ITU Region 2		11600000	11650000	BROADCASTING	5.134
ITU Region 2		11650000	12050000	-	5.147
ITU Region 2		11650000	12050000	BROADCASTING	
ITU Region 2		12050000	12100000	-	5.146
ITU Region 2		12050000	12100000	BROADCASTING	5.134
ITU Region 2		12100000	12230000	FIXED	
ITU Region 2		12230000	13200000	MARITIME MOBILE	5.109  5.110  5.132  5.145
ITU Region 2		13200000	13260000	AERONAUTICAL MOBILE (OR)	
ITU Region 2		13260000	13360000	AERONAUTICAL MOBILE (R)	
ITU Region 2		13360000	13410000	-	5.149
ITU Region 2		13360000	13410000	FIXED	
ITU Region 2		13360000	13410000	RADIO ASTRONOMY	
ITU Region 2		13410000	13570000	-	5.15
ITU Region 2		13410000	13570000	FIXED	
ITU Region 2		13410000	13570000	Mobile except aeronautical mobile (R)	
ITU Region 2		13570000	13600000	-	5.151
ITU Region 2		13570000	13600000	BROADCASTING	5.134
ITU Region 2		13600000	13800000	BROADCASTING	
ITU Region 2		13800000	13870000	-	5.151
ITU Region 2		13800000	13870000	BROADCASTING	5.134
ITU Region 2		13870000	14000000	FIXED	
ITU Region 2		13870000	14000000	Mobile except aeronautical mobile (R)	
ITU Region 2		14000000	14250000	AMATEUR	
ITU Region 2		14000000	14250000	AMATEUR-SATELLITE	
ITU Region 2		14250000	14350000	-	5.152
ITU Region 2		14250000	14350000	AMATEUR	
ITU Region 2		14350000	14990000	FIXED	
ITU Region 2		14350000	14990000	Mobile except aeronautical mobile (R)	
ITU Region 2		14990000	15005000	-	5.111
ITU Region 2		14990000	15005000	STANDARD FREQUENCY AND TIME SIGNAL (15000 kHz)	
ITU Region 2		15005000	15010000	STANDARD FREQUENCY AND TIME SIGNAL	
ITU Region 2		15005000	15010000	Space research	
ITU Region 2		15010000	15100000	AERONAUTICAL MOBILE (OR)	
ITU Region 2		15100000	15600000	BROADCASTING	
ITU Region 2		15600000	15800000	-	5.146
ITU Region 2		15600000	15800000	BROADCASTING	5.134
ITU Region 2		15800000	16360000	-	5.153
ITU Region 2		15800000	16360000	FIXED	
ITU Region 2		16360000	17410000	MARITIME MOBILE	5.109  5.110  5.132  5.145
ITU Region 2		17410000	17480000	FIXED	
ITU Region 2		17480000	17550000	-	5.146
ITU Region 2		17480000	17550000	BROADCASTING	5.134
ITU Region 2		17550000	17900000	BROADCASTING	
ITU Region 2		17900000	17970000	AERONAUTICAL MOBILE (R)	
ITU Region 2		17970000	18030000	AERONAUTICAL MOBILE (OR)	
ITU Region 2		18030000	18052000	FIXED	
ITU Region 2		18052000	18068000	FIXED	
ITU Region 2		18052000	18068000	Space research	
ITU Region 2		18068000	18168000	-	5.154
ITU Region 2		18068000	18168000	AMATEUR	
ITU Region 2		18068000	18168000	AMATEUR-SATELLITE	
ITU Region 2		18168000	18780000	FIXED	
ITU Region 2		18168000	18780000	Mobile except aeronautical mobile	
ITU Region 2		18780000	18900000	MARITIME MOBILE	
ITU Region 2		18900000	19020000	-	5.146
ITU Region 2		18900000	19020000	BROADCASTING	5.134
ITU Region 2		19020000	19680000	FIXED	
ITU Region 2		19680000	19800000	MARITIME MOBILE	5.132
ITU Region 2		19800000	19990000	FIXED	
ITU Region 2		19990000	19995000	-	5.111
ITU Region 2		19990000	19995000	STANDARD FREQUENCY AND TIME SIGNAL	
ITU Region 2		19990000	19995000	Space research	
ITU Region 2		19995000	20010000	-	5.111
ITU Region 2		19995000	20010000	STANDARD FREQUENCY AND TIME SIGNAL (20000 kHz)	
ITU Region 2		20010000	21000000	FIXED	
ITU Region 2		20010000	21000000	Mobile	
ITU Region 2		21000000	21450000	AMATEUR	
ITU Region 2		21000000	21450000	AMATEUR-SATELLITE	
ITU Region 2		21450000	21850000	BROADCASTING	
ITU Region 2		21850000	21870000	-	5.155
ITU Region 2		21850000	21870000	FIXED	5.155A
ITU Region 2		21870000	21924000	FIXED	5.155B
ITU Region 2		21924000	22000000	AERONAUTICAL MOBILE (R)	
ITU Region 2		22000000	22855000	-	5.156
ITU Region 2		22000000	22855000	MARITIME MOBILE	5.132
ITU Region 2		22855000	23000000	-	5.156
ITU Region 2		22855000	23000000	FIXED	
ITU Region 2		23000000	23200000	-	5.156
ITU Region 2		23000000	23200000	FIXED	
ITU Region 2		23000000	23200000	Mobile except aeronautical mobile (R)	
ITU Region 2		23200000	23350000	FIXED	5.156A
ITU Region 2		23200000	23350000	AERONAUTICAL MOBILE (OR)	
ITU Region 2		23350000	24000000	FIXED	
ITU Region 2		23350000	24000000	MOBILE except aeronautical mobile	5.157
ITU Region 2		24000000	24890000	FIXED	
ITU Region 2		24000000	24890000	LAND MOBILE	
ITU Region 2		24890000	24990000	AMATEUR	
ITU Region 2		24890000	24990000	AMATEUR-SATELLITE	
ITU Region 2		24990000	25005000	STANDARD FREQUENCY AND TIME SIGNAL (25000 kHz)	
ITU Region 2		25005000	25010000	STANDARD FREQUENCY AND TIME SIGNAL	
ITU Region 2		25005000	25010000	Space research	
ITU Region 2		25010000	25070000	FIXED	
ITU Region 2		25010000	25070000	MOBILE except aeronautical mobile	
ITU Region 2		25070000	25210000	MARITIME MOBILE	
ITU Region 2		25210000	25550000	FIXED	
ITU Region 2		25210000	25550000	MOBILE except aeronautical mobile	
ITU Region 2		25550000	25670000	-	5.149
ITU Region 2		25550000	25670000	RADIO ASTRONOMY	
ITU Region 2		25670000	26100000	BROADCASTING	
ITU Region 2		26100000	26175000	MARITIME MOBILE	5.132
ITU Region 2		26175000	27500000	-	5.15
ITU Region 2		26175000	27500000	FIXED	
ITU Region 2		26175000	27500000	MOBILE except aeronautical mobile	
ITU Region 2		27500000	28000000	METEOROLOGICAL AIDS	
ITU Region 2		27500000	28000000	FIXED	
ITU Region 2		27500000	28000000	MOBILE	
ITU Region 2		28000000	29700000	AMATEUR	
ITU Region 2		28000000	29700000	AMATEUR-SATELLITE	
ITU Region 2		29700000	30005000	FIXED	
ITU Region 2		29700000	30005000	MOBILE	
ITU Region 2		30005000	30010000	SPACE OPERATION (satellite identification)	
ITU Region 2		30005000	30010000	FIXED	
ITU Region 2		30005000	30010000	MOBILE	
ITU Region 2		30005000	30010000	SPACE RESEARCH	
ITU Region 2		30010000	37500000	FIXED	
ITU Region 2		30010000	37500000	MOBILE	
ITU Region 2		37500000	38250000	-	5.149
ITU Region 2		37500000	38250000	FIXED	
ITU Region 2		37500000	38250000	MOBILE	
ITU Region 2		37500000	38250000	Radio astronomy	
ITU Region 2		38250000	39986000	FIXED	
ITU Region 2		38250000	39986000	MOBILE	
ITU Region 2		39986000	40020000	FIXED	
ITU Region 2		39986000	40020000	MOBILE	
ITU Region 2		39986000	40020000	Space research	
ITU Region 2		40020000	40980000	-	5.15
ITU Region 2		40020000	40980000	FIXED	
ITU Region 2		40020000	40980000	MOBILE	
ITU Region 2		40980000	41015000	-	5.160  5.161
ITU Region 2		40980000	41015000	FIXED	
ITU Region 2		40980000	41015000	MOBILE	
ITU Region 2		40980000	41015000	Space research	
ITU Region 2		41015000	44000000	-	5.160  5.161
ITU Region 2		41015000	44000000	FIXED	
ITU Region 2		41015000	44000000	MOBILE	
ITU Region 2		44000000	47000000	-	5.162  5.162A
ITU Region 2		44000000	47000000	FIXED	
ITU Region 2		44000000	47000000	MOBILE	
ITU Region 2		47000000	50000000	FIXED	
ITU Region 2		47000000	50000000	MOBILE	
ITU Region 2		50000000	54000000	-	5.162A  5.166  5.167  5.168  5.170
ITU Region 2		50000000	54000000	AMATEUR	
ITU Region 2		54000000	68000000	-	5.172
ITU Region 2		54000000	68000000	BROADCASTING	
ITU Region 2		54000000	68000000	Fixed	
ITU Region 2		54000000	68000000	Mobile	
ITU Region 2		68000000	72000000	-	5.173
ITU Region 2		68000000	72000000	BROADCASTING	
ITU Region 2		68000000	72000000	Fixed	
ITU Region 2		68000000	72000000	Mobile	
ITU Region 2		72000000	73000000	FIXED	
ITU Region 2		72000000	73000000	MOBILE	
ITU Region 2		73000000	74600000	-	5.178
ITU Region 2		73000000	74600000	RADIO ASTRONOMY	
ITU Region 2		74600000	74800000	FIXED	
ITU Region 2		74600000	74800000	MOBILE	
ITU Region 2		74800000	75200000	-	5.180  5.181
ITU Region 2		74800000	75200000	AERONAUTICAL RADIONAVIGATION	
ITU Region 2		75200000	75400000	-	5.179
ITU Region 2		75200000	75400000	FIXED	
ITU Region 2		75200000	75400000	MOBILE	
ITU Region 2		75400000	76000000	FIXED	
ITU Region 2		75400000	76000000	MOBILE	
ITU Region 2		76000000	88000000	-	5.185
ITU Region 2		76000000	88000000	BROADCASTING	
ITU Region 2		76000000	88000000	Fixed	
ITU Region 2		76000000	88000000	Mobile	
ITU Region 2		100000000	108000000	-	5.192  5.194
ITU Region 2		100000000	108000000	BROADCASTING	
ITU Region 2		108000000	117975000	-	5.197  5.197A
ITU Region 2		108000000	117975000	AERONAUTICAL RADIONAVIGATION	
ITU Region 2		117975000	137000000	-	5.111  5.200  5.201  5.202
ITU Region 2		117975000	137000000	AERONAUTICAL MOBILE (R)	
ITU Region 2		137000000	137025000	-	5.204  5.205  5.206  5.207  5.208
ITU Region 2		137000000	137025000	SPACE OPERATION (space-to-Earth)	
ITU Region 2		137000000	137025000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
ITU Region 2		137000000	137025000	MOBILE-SATELLITE (space-to-Earth) 	5.208A  5.208B  5.209
ITU Region 2		137000000	137025000	SPACE RESEARCH (space-to-Earth)	
ITU Region 2		137000000	137025000	Fixed	
ITU Region 2		137000000	137025000	Mobile except aeronautical mobile (R)	
ITU Region 2		137025000	137175000	-	5.204  5.205  5.206  5.207  5.208
ITU Region 2		137025000	137175000	SPACE OPERATION (space-to-Earth)	
ITU Region 2		137025000	137175000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
ITU Region 2		137025000	137175000	SPACE RESEARCH (space-to-Earth)	
ITU Region 2		137025000	137175000	Fixed	
ITU Region 2		137025000	137175000	Mobile-satellite (space-to-Earth) 	5.208A  5.208B  5.209
ITU Region 2		137025000	137175000	Mobile except aeronautical mobile (R)	
ITU Region 2		137175000	137825000	-	5.204  5.205  5.206  5.207  5.208
ITU Region 2		137175000	137825000	SPACE OPERATION (space-to-Earth)	
ITU Region 2		137175000	137825000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
ITU Region 2		137175000	137825000	MOBILE-SATELLITE (space-to-Earth) 	5.208A  5.208B  5.209
ITU Region 2		137175000	137825000	SPACE RESEARCH (space-to-Earth)	
ITU Region 2		137175000	137825000	Fixed	
ITU Region 2		137175000	137825000	Mobile except aeronautical mobile (R)	
ITU Region 2		137825000	138000000	-	5.204  5.205  5.206  5.207  5.208
ITU Region 2		137825000	138000000	SPACE OPERATION (space-to-Earth)	
ITU Region 2		137825000	138000000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
ITU Region 2		137825000	138000000	SPACE RESEARCH	
ITU Region 2		137825000	138000000	Fixed	
ITU Region 2		137825000	138000000	Mobile-satellite (space-to-Earth) 	5.208A  5.208B  5.209
ITU Region 2		137825000	138000000	Mobile except aeronautical mobile (R)	
ITU Region 2		138000000	143600000	FIXED	
ITU Region 2		138000000	143600000	MOBILE	
ITU Region 2		138000000	143600000	RADIOLOCATION	
ITU Region 2		138000000	143600000	Space research (space-to-Earth)	
ITU Region 2		143600000	143650000	FIXED	
ITU Region 2		143600000	143650000	MOBILE	
ITU Region 2		143600000	143650000	RADIOLOCATION	
ITU Region 2		143600000	143650000	SPACE RESEARCH (space-to-Earth)	
ITU Region 2		143650000	144000000	FIXED	
ITU Region 2		143650000	144000000	MOBILE	
ITU Region 2		143650000	144000000	RADIOLOCATION	
ITU Region 2		143650000	144000000	Space research (space-to-Earth)	
ITU Region 2		144000000	146000000	-	5.216
ITU Region 2		144000000	146000000	AMATEUR	
ITU Region 2		144000000	146000000	AMATEUR-SATELLITE	
ITU Region 2		146000000	148000000	-	5.217
ITU Region 2		146000000	148000000	AMATEUR	
ITU Region 2		148000000	149900000	-	5.218  5.219  5.221
ITU Region 2		148000000	149900000	FIXED	
ITU Region 2		148000000	149900000	MOBILE	
ITU Region 2		148000000	149900000	MOBILE-SATELLITE (Earth-to-space) 	5.209
ITU Region 2		149900000	150050000	-	5.220  5.222  5.223
ITU Region 2		149900000	150050000	MOBILE-SATELLITE (Earth-to-space) 	5.209  5.224A
ITU Region 2		149900000	150050000	RADIONAVIGATION-SATELLITE	5.224B
ITU Region 2		150050000	156487500	-	5.225  5.226
ITU Region 2		150050000	156487500	FIXED	
ITU Region 2		150050000	156487500	MOBILE	
ITU Region 2		156487500	156562500	-	5.111  5.226  5.227
ITU Region 2		156487500	156562500	MARITIME MOBILE (distress and calling via DSC)	
ITU Region 2		156562500	156762500	-	5.225  5.226
ITU Region 2		156562500	156762500	FIXED	
ITU Region 2		156562500	156762500	MOBILE	
ITU Region 2		156762500	156837500	-	5.111  5.226
ITU Region 2		156762500	156837500	MARITIME MOBILE (distress and calling)	
ITU Region 2		156837500	174000000	-	5.226  5.227A  5.230  5.231  5.232
ITU Region 2		156837500	174000000	FIXED	
ITU Region 2		156837500	174000000	MOBILE	
ITU Region 2		174000000	216000000	-	5.234
ITU Region 2		174000000	216000000	BROADCASTING	
ITU Region 2		174000000	216000000	Fixed	
ITU Region 2		174000000	216000000	Mobile	
ITU Region 2		216000000	220000000	-	5.242
ITU Region 2		216000000	220000000	FIXED	
ITU Region 2		216000000	220000000	MARITIME MOBILE	
ITU Region 2		216000000	220000000	Radiolocation	5.241
ITU Region 2		220000000	225000000	AMATEUR	
ITU Region 2		220000000	225000000	FIXED	
ITU Region 2		220000000	225000000	MOBILE	
ITU Region 2		220000000	225000000	Radiolocation	5.241
ITU Region 2		225000000	235000000	FIXED	
ITU Region 2		225000000	235000000	MOBILE	
ITU Region 2		235000000	267000000	-	5.111  5.252  5.254  5.256  5.256A
ITU Region 2		235000000	267000000	FIXED	
ITU Region 2		235000000	267000000	MOBILE	
ITU Region 2		267000000	272000000	-	5.254  5.257
ITU Region 2		267000000	272000000	FIXED	
ITU Region 2		267000000	272000000	MOBILE	
ITU Region 2		267000000	272000000	Space operation (space-to-Earth)	
ITU Region 2		272000000	273000000	-	5.254
ITU Region 2		272000000	273000000	SPACE OPERATION (space-to-Earth)	
ITU Region 2		272000000	273000000	FIXED	
ITU Region 2		272000000	273000000	MOBILE	
ITU Region 2		273000000	312000000	-	5.254
ITU Region 2		273000000	312000000	FIXED	
ITU Region 2		273000000	312000000	MOBILE	
ITU Region 2		312000000	315000000	FIXED	
ITU Region 2		312000000	315000000	MOBILE	
ITU Region 2		312000000	315000000	Mobile-satellite (Earth-to-space) 	5.254  5.255
ITU Region 2		315000000	322000000	-	5.254
ITU Region 2		315000000	322000000	FIXED	
ITU Region 2		315000000	322000000	MOBILE	
ITU Region 2		322000000	328600000	-	5.149
ITU Region 2		322000000	328600000	FIXED	
ITU Region 2		322000000	328600000	MOBILE	
ITU Region 2		322000000	328600000	RADIO ASTRONOMY	
ITU Region 2		328600000	335400000	-	5.259
ITU Region 2		328600000	335400000	AERONAUTICAL RADIONAVIGATION	5.258
ITU Region 2		335400000	387000000	-	5.254
ITU Region 2		335400000	387000000	FIXED	
ITU Region 2		335400000	387000000	MOBILE	
ITU Region 2		387000000	390000000	FIXED	
ITU Region 2		387000000	390000000	MOBILE	
ITU Region 2		387000000	390000000	Mobile-satellite (space-to-Earth) 	5.208A  5.208B  5.254  5.255
ITU Region 2		390000000	399900000	-	5.254
ITU Region 2		390000000	399900000	FIXED	
ITU Region 2		390000000	399900000	MOBILE	
ITU Region 2		399900000	400050000	-	5.22
ITU Region 2		399900000	400050000	MOBILE-SATELLITE (Earth-to-space) 	5.209  5.224A
ITU Region 2		399900000	400050000	RADIONAVIGATION-SATELLITE	5.222  5.224B  5.260
ITU Region 2		400050000	400150000	-	5.261  5.262
ITU Region 2		400050000	400150000	STANDARD FREQUENCY AND TIME SIGNAL-SATELLITE (400.1 MHz)	
ITU Region 2		400150000	401000000	-	5.262  5.264
ITU Region 2		400150000	401000000	METEOROLOGICAL AIDS	
ITU Region 2		400150000	401000000	METEOROLOGICAL-SATELLITE (space-to-Earth)	
ITU Region 2		400150000	401000000	MOBILE-SATELLITE (space-to-Earth) 	5.208A  5.208B  5.209
ITU Region 2		400150000	401000000	SPACE RESEARCH (space-to-Earth) 	5.263
